user_id,age,occupation,monthly_income,city_type,date,food_expense,transport_expense,rent_expense,entertainment_expense,utilities_expense,shopping_expense,other_expense,total_expense,savings,payment_mode,overspending_flag,weekend_flag
U0001,36,Salaried,74886,Semi-Urban,2023-01-05,374,105,345,138,92,13,198,1265,36936,Card,0,0
U0001,36,Salaried,74886,Semi-Urban,2023-02-14,343,272,331,252,108,57,127,1490,30186,Cash,0,0
U0001,36,Salaried,74886,Semi-Urban,2023-02-20,441,252,313,163,126,163,182,1640,25686,UPI,0,0
U0001,36,Salaried,74886,Semi-Urban,2023-09-05,287,186,382,24,114,0,189,1182,39426,Cash,0,0
U0001,36,Salaried,74886,Semi-Urban,2023-09-13,375,183,439,40,95,114,56,1302,35826,Card,0,0
U0001,36,Salaried,74886,Semi-Urban,2023-09-20,365,89,391,199,75,112,155,1386,33306,Cash,0,0
U0001,36,Salaried,74886,Semi-Urban,2023-10-09,351,166,410,20,74,93,161,1275,36636,Card,0,0
U0001,36,Salaried,74886,Semi-Urban,2024-01-17,262,227,533,129,125,125,224,1625,26136,Card,0,0
U0001,36,Salaried,74886,Semi-Urban,2024-02-28,94,103,314,149,78,40,28,806,50706,UPI,0,0
U0001,36,Salaried,74886,Semi-Urban,2024-03-26,379,165,393,146,97,64,28,1272,36726,UPI,0,0
U0001,36,Salaried,74886,Semi-Urban,2024-04-18,264,194,320,234,112,93,142,1359,34116,UPI,0,0
U0001,36,Salaried,74886,Semi-Urban,2024-05-19,284,206,266,78,125,305,42,1306,35706,UPI,0,1
U0001,36,Salaried,74886,Semi-Urban,2024-05-27,221,74,352,141,81,115,181,1165,39936,UPI,0,0
U0001,36,Salaried,74886,Semi-Urban,2024-06-14,292,103,368,81,47,139,165,1195,39036,Card,0,0
U0001,36,Salaried,74886,Semi-Urban,2024-12-30,174,301,480,146,109,19,71,1300,35886,UPI,0,0
U0002,32,Salaried,80263,Urban,2023-01-16,302,181,739,0,123,146,53,1518,34723,UPI,0,0
U0002,32,Salaried,80263,Urban,2023-04-02,441,214,674,108,135,83,70,1725,28513,Card,0,1
U0002,32,Salaried,80263,Urban,2023-04-19,295,337,577,48,105,150,109,1621,31633,Card,0,0
U0002,32,Salaried,80263,Urban,2023-04-28,458,300,671,208,72,120,113,1942,22003,UPI,0,0
U0002,32,Salaried,80263,Urban,2023-06-03,237,141,778,296,68,220,125,1865,24313,UPI,0,1
U0002,32,Salaried,80263,Urban,2023-06-20,13,91,833,94,154,127,53,1365,39313,Card,0,0
U0002,32,Salaried,80263,Urban,2023-07-03,167,143,869,70,65,47,126,1487,35653,UPI,0,0
U0002,32,Salaried,80263,Urban,2023-09-28,354,298,653,230,126,130,146,1937,22153,UPI,0,0
U0002,32,Salaried,80263,Urban,2023-11-06,127,303,808,27,76,13,92,1446,36883,UPI,0,0
U0002,32,Salaried,80263,Urban,2023-11-17,210,378,613,228,75,46,130,1680,29863,Card,0,0
U0002,32,Salaried,80263,Urban,2024-01-03,194,231,572,222,162,72,23,1476,35983,UPI,0,0
U0002,32,Salaried,80263,Urban,2024-01-05,120,374,835,183,119,0,16,1647,30853,Card,0,0
U0002,32,Salaried,80263,Urban,2024-02-27,419,198,667,171,115,71,79,1720,28663,UPI,0,0
U0002,32,Salaried,80263,Urban,2024-08-07,346,163,840,252,85,80,191,1957,21553,Cash,0,0
U0002,32,Salaried,80263,Urban,2024-08-07,363,302,877,75,148,83,61,1909,22993,UPI,0,0
U0002,32,Salaried,80263,Urban,2024-09-12,354,264,854,105,68,76,85,1806,26083,Cash,0,0
U0002,32,Salaried,80263,Urban,2024-10-07,392,320,725,48,154,36,103,1778,26923,UPI,0,0
U0002,32,Salaried,80263,Urban,2024-11-08,221,203,581,261,87,64,126,1543,33973,Card,0,0
U0002,32,Salaried,80263,Urban,2024-12-16,411,163,905,77,139,60,115,1870,24163,Card,0,0
U0003,51,Business,35311,Rural,2023-01-21,212,116,27,169,57,23,14,618,16771,UPI,0,1
U0003,51,Business,35311,Rural,2023-08-05,413,185,74,154,24,21,160,1031,4381,Card,0,1
U0003,51,Business,35311,Rural,2023-09-07,295,309,70,107,46,0,173,1000,5311,UPI,0,0
U0003,51,Business,35311,Rural,2024-01-08,285,190,48,137,77,0,90,827,10501,Cash,0,0
U0003,51,Business,35311,Rural,2024-02-13,186,105,33,52,70,77,132,655,15661,UPI,0,0
U0003,51,Business,35311,Rural,2024-05-05,233,196,0,16,56,125,168,794,11491,Cash,0,1
U0003,51,Business,35311,Rural,2024-07-17,90,171,65,74,24,54,144,622,16651,UPI,0,0
U0003,51,Business,35311,Rural,2024-08-12,247,221,37,89,49,90,25,758,12571,Cash,0,0
U0003,51,Business,35311,Rural,2024-09-19,209,140,56,175,64,5,61,710,14011,UPI,0,0
U0003,51,Business,35311,Rural,2024-10-10,254,104,100,129,25,52,77,741,13081,UPI,0,0
U0003,51,Business,35311,Rural,2024-11-26,186,261,99,34,45,13,126,764,12391,Cash,0,0
U0003,51,Business,35311,Rural,2024-12-13,281,304,58,24,48,62,85,862,9451,Card,0,0
U0004,43,Freelancer,103016,Urban,2023-02-19,442,156,901,457,108,214,0,2278,34676,Cash,0,1
U0004,43,Freelancer,103016,Urban,2023-03-11,746,233,756,225,82,60,82,2184,37496,Card,0,1
U0004,43,Freelancer,103016,Urban,2023-04-01,503,71,1052,31,105,42,158,1962,44156,Card,0,1
U0004,43,Freelancer,103016,Urban,2023-04-29,159,35,1058,194,105,174,107,1832,48056,UPI,0,1
U0004,43,Freelancer,103016,Urban,2023-05-01,96,167,939,376,107,200,177,2062,41156,Card,0,0
U0004,43,Freelancer,103016,Urban,2023-06-01,420,196,821,46,90,265,118,1956,44336,UPI,0,0
U0004,43,Freelancer,103016,Urban,2023-08-03,247,85,1143,127,185,102,112,2001,42986,Cash,0,0
U0004,43,Freelancer,103016,Urban,2023-08-07,372,168,855,91,146,192,66,1890,46316,Cash,0,0
U0004,43,Freelancer,103016,Urban,2023-08-25,61,92,801,361,189,34,63,1601,54986,UPI,0,0
U0004,43,Freelancer,103016,Urban,2023-10-18,329,240,745,323,108,0,68,1813,48626,Card,0,0
U0004,43,Freelancer,103016,Urban,2023-11-25,296,169,763,116,104,0,70,1518,57476,Card,0,1
U0004,43,Freelancer,103016,Urban,2023-12-19,414,287,957,213,99,81,0,2051,41486,Card,0,0
U0004,43,Freelancer,103016,Urban,2024-01-18,224,128,929,71,179,83,90,1704,51896,Cash,0,0
U0004,43,Freelancer,103016,Urban,2024-02-02,204,339,713,108,67,98,231,1760,50216,UPI,0,0
U0004,43,Freelancer,103016,Urban,2024-02-25,257,154,806,383,119,124,133,1976,43736,Cash,0,1
U0004,43,Freelancer,103016,Urban,2024-04-25,448,186,883,89,125,30,191,1952,44456,Cash,0,0
U0004,43,Freelancer,103016,Urban,2024-07-21,476,261,970,301,144,74,24,2250,35516,Card,0,1
U0004,43,Freelancer,103016,Urban,2024-07-25,101,203,972,185,165,27,77,1730,51116,Cash,0,0
U0005,49,Salaried,149981,Urban,2023-03-04,324,147,1037,486,146,112,88,2340,79781,UPI,0,1
U0005,49,Salaried,149981,Urban,2023-04-04,500,306,1643,367,127,89,12,3044,58661,UPI,0,0
U0005,49,Salaried,149981,Urban,2023-04-11,390,163,1313,307,118,138,154,2583,72491,Card,0,0
U0005,49,Salaried,149981,Urban,2023-05-22,605,331,1239,421,273,224,82,3175,54731,Card,0,0
U0005,49,Salaried,149981,Urban,2023-06-20,140,131,1302,101,84,99,34,1891,93251,Cash,0,0
U0005,49,Salaried,149981,Urban,2023-07-16,746,191,1092,278,121,9,89,2526,74201,UPI,0,1
U0005,49,Salaried,149981,Urban,2023-11-19,956,159,1254,249,175,356,114,3263,52091,UPI,0,1
U0005,49,Salaried,149981,Urban,2023-12-14,248,239,1483,447,116,319,127,2979,60611,UPI,0,0
U0005,49,Salaried,149981,Urban,2023-12-25,177,193,1671,18,214,33,144,2450,76481,Card,0,0
U0005,49,Salaried,149981,Urban,2024-01-08,302,237,1500,24,249,0,70,2382,78521,UPI,0,0
U0005,49,Salaried,149981,Urban,2024-01-22,355,232,1700,59,203,98,138,2785,66431,Card,0,0
U0005,49,Salaried,149981,Urban,2024-02-04,282,116,1525,448,299,0,73,2743,67691,Card,0,1
U0005,49,Salaried,149981,Urban,2024-03-02,463,218,1314,483,124,375,169,3146,55601,Cash,0,1
U0005,49,Salaried,149981,Urban,2024-04-08,462,359,1465,293,203,0,47,2829,65111,Cash,0,0
U0005,49,Salaried,149981,Urban,2024-04-15,443,200,1137,222,162,186,139,2489,75311,Card,0,0
U0005,49,Salaried,149981,Urban,2024-04-28,434,63,1498,380,250,64,0,2689,69311,UPI,0,1
U0005,49,Salaried,149981,Urban,2024-05-04,215,132,1253,320,165,228,190,2503,74891,Cash,0,1
U0005,49,Salaried,149981,Urban,2024-07-09,248,311,1357,186,287,46,188,2623,71291,Cash,0,0
U0005,49,Salaried,149981,Urban,2024-08-12,541,369,1149,248,213,125,0,2645,70631,Card,0,0
U0005,49,Salaried,149981,Urban,2024-08-31,617,109,1204,366,133,279,94,2802,65921,Card,0,1
U0005,49,Salaried,149981,Urban,2024-11-07,154,189,1520,31,133,9,206,2242,82721,Card,0,0
U0005,49,Salaried,149981,Urban,2024-11-14,244,278,1621,367,225,0,78,2813,65591,Card,0,0
U0006,32,Business,117313,Semi-Urban,2023-01-26,453,296,792,122,148,84,213,2108,54073,Card,0,0
U0006,32,Business,117313,Semi-Urban,2023-03-07,267,201,472,85,165,90,211,1491,72583,Card,0,0
U0006,32,Business,117313,Semi-Urban,2023-03-23,342,221,755,202,220,232,0,1972,58153,Card,0,0
U0006,32,Business,117313,Semi-Urban,2023-06-01,334,269,780,388,61,133,121,2086,54733,UPI,0,0
U0006,32,Business,117313,Semi-Urban,2023-06-18,111,140,516,106,94,88,89,1144,82993,UPI,0,1
U0006,32,Business,117313,Semi-Urban,2023-07-10,198,147,832,365,158,28,192,1920,59713,UPI,0,0
U0006,32,Business,117313,Semi-Urban,2023-09-13,531,266,549,142,94,98,133,1813,62923,UPI,0,0
U0006,32,Business,117313,Semi-Urban,2023-09-14,152,158,539,247,143,154,95,1488,72673,Card,0,0
U0006,32,Business,117313,Semi-Urban,2023-09-21,235,270,495,361,160,95,111,1727,65503,UPI,0,0
U0006,32,Business,117313,Semi-Urban,2023-10-01,538,123,633,493,134,162,126,2209,51043,UPI,0,1
U0006,32,Business,117313,Semi-Urban,2023-10-30,476,271,495,72,124,148,63,1649,67843,Card,0,0
U0006,32,Business,117313,Semi-Urban,2023-10-30,446,88,839,332,229,128,152,2214,50893,Card,0,0
U0006,32,Business,117313,Semi-Urban,2023-10-30,227,212,526,335,124,173,209,1806,63133,Card,0,0
U0006,32,Business,117313,Semi-Urban,2023-11-14,406,174,836,81,70,222,176,1965,58363,UPI,0,0
U0006,32,Business,117313,Semi-Urban,2023-11-27,316,224,833,70,199,132,58,1832,62353,Card,0,0
U0006,32,Business,117313,Semi-Urban,2023-12-18,166,98,662,71,163,65,153,1378,75973,Card,0,0
U0006,32,Business,117313,Semi-Urban,2024-01-05,399,260,401,198,216,183,74,1731,65383,Cash,0,0
U0006,32,Business,117313,Semi-Urban,2024-02-27,127,284,486,272,212,254,35,1670,67213,Card,0,0
U0006,32,Business,117313,Semi-Urban,2024-03-01,169,81,644,141,112,160,189,1496,72433,Card,0,0
U0006,32,Business,117313,Semi-Urban,2024-06-08,335,49,787,61,189,34,91,1546,70933,Card,0,1
U0006,32,Business,117313,Semi-Urban,2024-06-17,477,302,665,70,229,182,175,2100,54313,Card,0,0
U0006,32,Business,117313,Semi-Urban,2024-10-06,553,128,774,192,174,304,174,2299,48343,UPI,0,1
U0006,32,Business,117313,Semi-Urban,2024-11-07,449,198,574,184,169,37,44,1655,67663,Card,0,0
U0006,32,Business,117313,Semi-Urban,2024-11-23,741,219,577,262,109,174,124,2206,51133,UPI,0,1
U0007,47,Freelancer,78148,Urban,2023-03-09,181,170,555,52,130,85,5,1178,42808,Card,0,0
U0007,47,Freelancer,78148,Urban,2023-04-21,322,169,813,139,124,57,85,1709,26878,Cash,0,0
U0007,47,Freelancer,78148,Urban,2023-06-13,236,315,842,251,120,70,226,2060,16348,UPI,0,0
U0007,47,Freelancer,78148,Urban,2023-06-24,566,217,664,374,134,160,80,2195,12298,UPI,0,1
U0007,47,Freelancer,78148,Urban,2023-07-10,219,295,532,110,116,0,147,1419,35578,UPI,0,0
U0007,47,Freelancer,78148,Urban,2023-08-23,376,315,522,47,86,156,207,1709,26878,UPI,0,0
U0007,47,Freelancer,78148,Urban,2023-12-25,315,278,718,273,140,99,213,2036,17068,Cash,0,0
U0007,47,Freelancer,78148,Urban,2024-01-02,455,250,669,100,68,116,73,1731,26218,UPI,0,0
U0007,47,Freelancer,78148,Urban,2024-03-02,138,72,874,44,113,75,54,1370,37048,Cash,0,1
U0007,47,Freelancer,78148,Urban,2024-03-31,154,220,607,72,61,128,106,1348,37708,Cash,0,1
U0007,47,Freelancer,78148,Urban,2024-05-14,389,303,873,102,111,60,59,1897,21238,UPI,0,0
U0007,47,Freelancer,78148,Urban,2024-06-18,430,115,795,133,103,97,136,1809,23878,Cash,0,0
U0007,47,Freelancer,78148,Urban,2024-09-16,299,327,769,59,79,140,61,1734,26128,UPI,0,0
U0007,47,Freelancer,78148,Urban,2024-09-19,279,187,767,79,131,100,88,1631,29218,UPI,0,0
U0007,47,Freelancer,78148,Urban,2024-10-09,205,157,834,55,113,0,183,1547,31738,Cash,0,0
U0007,47,Freelancer,78148,Urban,2024-11-02,393,60,837,354,62,131,55,1892,21388,Cash,0,1
U0008,21,Student,19541,Urban,2023-02-13,279,136,158,62,4,24,80,743,-2749,UPI,1,0
U0008,21,Student,19541,Urban,2023-05-05,345,154,141,53,0,113,78,884,-6979,Cash,1,0
U0008,21,Student,19541,Urban,2023-06-27,354,237,165,62,0,54,62,934,-8479,Cash,1,0
U0008,21,Student,19541,Urban,2023-07-30,412,207,139,132,38,73,35,1036,-11539,UPI,1,1
U0008,21,Student,19541,Urban,2023-07-31,248,283,136,50,22,63,87,889,-7129,UPI,1,0
U0008,21,Student,19541,Urban,2023-08-27,518,215,189,0,44,143,149,1223,-17149,Cash,1,1
U0008,21,Student,19541,Urban,2023-09-25,323,120,116,23,20,0,66,668,-499,UPI,1,0
U0008,21,Student,19541,Urban,2023-11-02,238,114,171,136,52,0,207,918,-7999,Cash,1,0
U0008,21,Student,19541,Urban,2023-12-12,391,271,219,83,39,0,0,1003,-10549,UPI,1,0
U0008,21,Student,19541,Urban,2023-12-17,463,216,156,53,19,12,72,991,-10189,Cash,1,1
U0008,21,Student,19541,Urban,2024-02-10,252,103,175,60,46,40,2,678,-799,UPI,1,1
U0008,21,Student,19541,Urban,2024-02-20,361,259,226,0,46,0,0,858,-6199,UPI,1,0
U0008,21,Student,19541,Urban,2024-06-03,358,270,163,16,40,86,199,1132,-14419,UPI,1,0
U0008,21,Student,19541,Urban,2024-06-19,381,267,189,0,51,43,102,969,-9529,Cash,1,0
U0008,21,Student,19541,Urban,2024-07-03,304,246,202,102,45,114,36,1049,-11929,Cash,1,0
U0008,21,Student,19541,Urban,2024-07-13,295,104,137,104,32,113,107,892,-7219,Cash,1,1
U0008,21,Student,19541,Urban,2024-07-13,247,217,170,136,34,0,232,1036,-11539,UPI,1,1
U0008,21,Student,19541,Urban,2024-07-20,370,117,126,85,36,7,175,916,-7939,UPI,1,1
U0008,21,Student,19541,Urban,2024-12-23,326,334,201,54,20,0,29,964,-9379,UPI,1,0
U0009,25,Salaried,72995,Urban,2023-01-23,295,222,509,176,33,42,73,1350,32495,UPI,0,0
U0009,25,Salaried,72995,Urban,2023-02-28,160,207,728,18,108,123,28,1372,31835,UPI,0,0
