age,occupation,monthly_income,city_type,date,food,transport,rent,entertainment,utilities,shopping,others,total_expense,overspending_habit
56,Student,77676,Urban,2023-08-03,14251.510537525573,4012.4837404659925,22839.556730554294,4883.908401235487,2568.2905000313494,9367.00064466175,2470.865980505579,60393.61653498002,0
46,Freelancer,31560,Rural,2023-02-27,4016.5401772862633,1583.3318202636747,3595.660623499907,2788.8515251619265,1445.4991722443235,3358.6719355173013,846.7736974301438,17635.328951403542,0
32,Student,74401,Urban,2023-01-30,12069.312708088819,3765.2019518054617,22297.587794197516,5587.097243810055,4964.605444802618,6557.226612971507,3195.947488759748,58436.97924443573,0
60,Student,70468,Rural,2023-04-16,11258.580962605862,6789.634478680229,6843.5553513188615,10734.86072871188,4614.644894559157,3870.4154478439323,1697.68417607751,45809.376039797426,0
25,Business,135884,Urban,2023-11-26,14708.14441890183,12522.457666971395,39786.414846740634,25860.899464229264,6529.322924249169,6848.897099179297,4354.994597808433,110611.13101808002,1
38,Business,52463,Semi-Urban,2023-06-16,6226.313252374571,4261.046138712605,10851.317579843293,3364.2911248310256,1658.9210345256563,6065.398546351651,2374.536421128894,34801.8240977677,0
56,Business,51663,Rural,2023-12-16,8887.711313951388,4727.055798349431,4567.319047101775,9930.773233853102,2215.709209633028,2652.4032918700614,2340.4242787289636,35321.396173487745,0
36,Salaried,133687,Semi-Urban,2023-06-03,25959.625998408745,11066.330436906655,26200.27326092685,19735.157353757706,6505.706058839508,18687.184353867495,3273.717855721959,111427.99531842892,1
40,Salaried,88706,Rural,2023-11-23,16197.482033407281,5727.315347449953,9487.772338858196,8375.530379810947,4178.030856365127,7673.518332308522,3908.9753296200493,55548.624617820074,0
28,Student,78773,Urban,2023-01-07,12048.1955093672,6634.455244729572,23877.558473922356,11083.53591265843,5025.056842043587,5480.829285134698,3778.6198400466287,67928.25110790247,1
28,Business,53123,Semi-Urban,2023-07-16,6643.409871421876,4605.44794716105,10193.910786987184,8087.7099982251975,2252.419137014176,6629.178021062762,1949.850685356642,40361.92644722889,0
41,Student,114346,Urban,2023-11-17,21530.80815163379,7474.6420475052855,34687.78504411349,9457.146240395465,4123.234947860944,10297.879065209114,3943.1674762697635,91514.66297298785,1
53,Freelancer,29718,Rural,2023-02-15,4028.831785288102,1964.5271063505425,3344.6397879952838,1340.5982323951278,1734.8069666949218,4264.664342833973,1098.2561980308124,17776.324419588764,0
57,Freelancer,146777,Rural,2023-01-18,23652.148296590978,7844.736760983371,15406.653807235658,7336.111890328427,8014.324596911447,21709.964693863283,5557.72255612825,89521.66260204141,0
41,Business,82637,Rural,2023-06-02,14252.481791559378,5971.84386455781,7384.431687030115,7092.895221065137,2594.7979698212794,9921.876100580559,1709.5651012109965,48927.89173582527,0
20,Business,20028,Rural,2023-09-21,3729.824927815756,1159.256726283147,2031.3429908851024,1438.0214016571933,967.388776754988,1683.8811164679512,681.641541717375,11691.357481581514,0
39,Freelancer,82370,Rural,2023-03-15,10802.131564719106,5922.906886452535,7954.825981996061,5735.780391859849,3255.012529764772,12262.06404282672,2885.099741802669,48817.82113942171,0
19,Business,67599,Semi-Urban,2023-05-25,8072.416227114344,4992.411760199903,14252.630259049649,2131.158218589121,3865.457155901345,7084.157509547274,1695.8385258428038,42094.069656244435,0
